Category,Keywords,Answer,Last Updated,Date
Exam Schedule,"exam, test, midterm, final, quiz, examination","Mid-term examinations are scheduled from March 15-20, 2026. Mathematics: March 15, Physics: March 17, Chemistry: March 19. Check your student portal for detailed timings and venues.",2026-02-13,2026-03-15
Exam Schedule,"next exam, upcoming exam, when exam","The next exam is Mathematics on March 15, 2026 at 9:00 AM in Hall A. Please arrive 15 minutes early.",2026-02-13,2026-03-15
Events,"event, fest, cultural, technical, workshop, seminar","Annual Tech Fest 'Innovate 2026' is scheduled for March 20-22, 2026. Registration opens on March 1st. Visit events.university.edu for details.",2026-02-13,2026-03-20
Events,"this week, week, happening","This week's events: Guest Lecture on AI (Feb 14), Coding Workshop (Feb 15), Sports Day (Feb 16). Check notice board for timings.",2026-02-13,2026-02-14
Timetable,"class, schedule, timetable, timing, today, lecture","Today's schedule: 9 AM - Mathematics (Room 101), 11 AM - Physics Lab (Lab 2), 2 PM - Chemistry (Room 203), 4 PM - English (Room 105).",2026-02-13,2026-02-13
Timetable,"tomorrow, tomorrow schedule","Tomorrow's classes: 9 AM - Computer Science (Lab 1), 11 AM - Mathematics (Room 101), 2 PM - Physics (Room 202).",2026-02-13,2026-02-14
Timetable,"monday, tuesday, wednesday, thursday, friday","Weekly timetable available on student portal. Monday: Math, Physics, Chemistry. Tuesday: CS, English, Math. Wednesday: Lab sessions. Thursday: Theory classes. Friday: Electives.",2026-02-13,
Holidays,"holiday, vacation, break, off, leave","Upcoming holidays: Holi (March 14), Spring Break (March 25-30, 2026). Total 8 holidays this semester. Academic calendar available on portal.",2026-02-13,2026-03-14
Academic Calendar,"calendar, important dates, deadline, semester","Important dates: Mid-term exams (March 15-20), Project submission (March 30), End-term exams (May 1-15). Fee payment deadline: March 10.",2026-02-13,2026-03-10
Library,"library, book, borrow, hours, study","Library hours: Monday-Friday 8 AM - 8 PM, Saturday 9 AM - 5 PM. Closed on Sundays. Book borrowing limit: 3 books for 14 days. Late fee: ₹5/day.",2026-02-13,
Fees,"fee, payment, tuition, scholarship, dues","Semester fees due by March 10, 2026. Amount: ₹45,000. Payment portal: student.university.edu/fees. Scholarships available for merit students.",2026-02-13,2026-03-10
Sports,"sports, gym, fitness, ground, basketball, cricket","Sports complex open 6 AM - 9 PM daily. Basketball court booking: sports@university.edu. Inter-college tournament on March 25.",2026-02-13,2026-03-25
Canteen,"canteen, food, mess, dining, lunch, breakfast","Canteen hours: Breakfast 7-9 AM, Lunch 12-2 PM, Snacks 4-6 PM, Dinner 7-9 PM. Monthly meal plan: ₹3,500. Special menu on weekends.",2026-02-13,
Contact,"contact, help, support, admin, helpdesk","Student helpdesk: +91-9876543210, Email: support@university.edu, Office hours: 9 AM - 5 PM (Mon-Fri). For emergencies: +91-9876543211.",2026-02-13,
Attendance,"attendance, absent, leave, sick","Minimum 75% attendance required. Apply for leave through student portal. Medical certificate needed for sick leave > 3 days.",2026-02-13,
Assignments,"assignment, homework, submission, project","Current assignments: Math (Due: Feb 20), Physics Lab Report (Due: Feb 18), CS Project (Due: March 30). Submit via portal before deadline.",2026-02-13,2026-02-18
Results,"result, marks, grade, score, performance","Mid-term results will be published on March 25, 2026. Check student portal. For queries, contact respective faculty during office hours.",2026-02-13,2026-03-25
Placement,"placement, job, internship, company, recruitment","Placement drive starts April 2026. Companies visiting: TCS, Infosys, Wipro. Register on placement portal. Eligibility: 60% aggregate, no backlogs.",2026-02-13,2026-04-01
General,"help, info, about, what can you do, hi, hello","I can help you with exam schedules, events, timetables, holidays, library info, fees, sports, canteen, contact details, attendance, assignments, results, and placements. Just ask!",2026-02-13,
